Year,Product Type,Product/Title,Plot/Notes
2018,Car,Hyundai """Hope Detector""",Hyundai owners that attended the Super Bowl Experience are brought aside to meet cancer patients who were helped by Hyundai's donations to cancer research.[112]
2018,Car,Jeep Wrangler """Anti-Manifesto""","As a Wrangler drives through a river, a narrator explains that this particular commercial would not feature ""grandiose speeches and big declarations"", and would instead be an ""anti-manifesto"".[112][124]"
2018,Car,Jeep Wrangler Rubicon """Jeep Jurassic""",Jeff Goldblum re-lives driving in Jurassic Park[112][125]
2018,Car,Jeep Cherokee """The Road""",[112][126]
2018,Car,Kia Stinger """Feel Something Again""",An old Steven Tyler rewinds time by driving his Kia backwards on a race track. Features race car driver Emerson Fittipaldi[127][128][112]
2018,Car / Film,"Lexus LS 500 F Sport  Black Panther","""Long Live the King""","After defeating an opponent to secure an item, the Black Panther follows a Lexus LS 500 F Sport and jumps through its sunroof where he transforms back to T'Challa.[115][112]"
2018,Car,Toyota """Good Odds""","Follows the odds of a paralympic skier of winning a gold medal, with the odds being reduced bit by bit as the woman grows and trains, and eventually reveals to be gold medalist Lauren Woolstencroft.[112][129][130]"
2018,Car,Toyota """Mobility Anthem""",The idea of mobility is portrayed as a broad concept unifies people of all ages and abilities.[131][112][132]
2018,Car,Toyota """One Team""","A priest, a rabbi, and an imam carpool to the game together.[112]"
2018,Cleaner,Febreze """The Only Man Whose Bleep Doesn't Stink""",Dave's family and friends remark that Dave's Bleep doesn't stink.[115]
2018,Drink,Stella Artois and Water.org """Taps""","Matt Damon asks that if 1% of the people watching the ad buy the beer, the company will give clean water to one million people for five years.[118]"
2018,Film,Avengers: Infinity War N/A,TV trailer[133]
2018,Film,The Cloverfield Paradox (Netflix) N/A,TV trailer[133] The film became available on Netflix immediately following the conclusion of the game.[134]
2018,Film,Mission: Impossible – Fallout N/A,Trailer[133]
2018,Film,A Quiet Place ,
2018,Film,Skyscraper N/A,TV trailer[133]
2018,Film,Solo: A Star Wars Story N/A,TV promo[127]
2018,Food,Avocados From Mexico """#GuacWorld""",A utopian society sealed from the rest of the world realize that their tortilla chips for their guacamole are outside.[112][135][136]
2018,Food,Jack in the Box """Jack vs. Martha""","Jack interrupts Martha Stewart's show in order to show off his newest creations. Martha then challenges Jack, pulling his nose off.[137]"
2018,Food,Kraft Foods """Family Greatly""",Kraft assembles a montage of photos and videos from families celebrating game day.[138][139]
2018,Food,Pringles """Wow 2018""" Bill Hader and other actors remark about stacking different flavored Pringles.[115][140][141]
2018,Food,Wendy's """Iceberg""","Wendy's slams McDonald's for using flash-frozen beef patties, likening being frozen to the iceberg and the Titanic.[112][142]"
2018,Food / Drink,Doritos and Mountain Dew """Doritos Blaze vs. Mtn Dew Ice""","Peter Dinklage and Morgan Freeman perform a lip-sync rap battle with Dinklage lip-syncing to a Busta Rhymes performed verse of Chris Brown's ""Look at Me Now"" and Freeman to ""Get Ur Freak On"" by Missy Elliott[143][144]"
2018,Headphones,Monster N/A,"A guy on the subway (RiceGum) is inspired by Iggy Azalea to create a new set of Monster headphones. Also features Joe Perry, Joey Fatone, Yo Gotti and others.[145]"
2018,Investments,E-Trade """This Is Getting Old""","Shows a number of senior citizens who are still trying to do physically active jobs because they don't have enough to retire. Played to ""Day-O (The Banana Boat Song)""[112][146]"
2018,Laundry detergent,Persil """Game-time Stain-time""",The Professional steps out of a big screen to clean a guacamole stain off a viewer's shirt.[147][112][148][149]
2018,Laundry detergent,Tide """It's a Tide Ad""","David Harbour examines several typical types of commercials one would see during the Super Bowl, only to reveal that they're all actually Tide ads because they have clean clothes.[150][112][151]"
2018,Laundry detergent,Tide """It's Another Tide Ad""",The Old Spice Guy (Isaiah Mustafa) is interrupted when his ad suddenly becomes a Tide ad.[151]
2018,Laundry detergent,Tide """It's Yet Another Tide Ad""","A beer commercial with clydesdales, and the Mr. Clean commercial from the previous game, are similarly hijacked by Tide ads.[151]"
2018,Laundry detergent,Tide """It's Yet Another Tide Ad, Again""","A woman playing tennis hurts her back, so David Harbour arrives and pitches Tide detergent.[151]"
2018,Loans,Rocket Mortgage """Translator""","Keegan-Michael Key helps translate for people the words of a hair stylist, a waiter, Big Sean's rap music and a loan officer.[112][152][152]"
2018,Retail,Groupon """Who Wouldn't""",Tiffany Haddish talks about how using Groupon supports local businesses.[153][115][154]
2018,Shoes,Skechers """First Class for your Feet""",Howie Long gets a seat upgrade.[155][156]
2018,Soft drink,Coca-Cola """The Wonder of Us""",People of various cultures read lines from a poem about a Coke for them.[118]
2018,Soft drink,Diet Coke """Groove""","Actress Hayley Magnus tries the Diet Coke Twisted Mango flavor, and can't help dancing afterwards.[112][157]"
2018,Soft drink,Pepsi """This Is the Pepsi""","Jimmy Fallon narrates about some of the celebrities who have appeared in Pepsi commercials, with footage of Britney Spears and Michael Jackson. Cindy Crawford re-creates her Pepsi drinking moment, and her teenage son Presley Gerber appears. Kyrie Irving appears as Uncle Drew, and Jeff Gordon also appears.[118][158] This was the lead-in commercial to the halftime show."
2018,Sports,2018 Winter Olympics (NBC) """Best of U.S.: Lindsey Vonn""","Skier Lindsey Vonn prepares for the 2018 Winter Olympics. Other ads for Chloe Kim  Mikaela Shiffrin, Nathan Chen  and Shaun White were prepared.[159][160] Shaun White's ad was the first ad played after the game ended."
2018,Sports,2018 Winter Olympics (NBC) N/A A number of promotions by NBC for their Olympic coverage.
2018,Sports,NFL """Touchdown Celebrations to Come""","After multiple teaser ads, Eli Manning and Odell Beckham Jr. re-create an iconic scene from Dirty Dancing.[112][127]"
2018,Sports,NFL """Next Season Starts Now""","Featuring Jalen Ramsey, Marquette King, Devonta Freeman, Jared Goff, Stefon Diggs and Travis Kelce. Also stars NBA player Nick Young, who at the time was playing for the Golden State Warriors. [161]"
2018,Sports,2018 FIFA World Cup (Telemundo) """Telemundo ya prepara su mejor grito gol para Rusia 2018""","Andrés Cantor lets out his signature goal call over footage from previous FIFA World Cups  ending with a mic drop.[162]"
2018,Tax preparation,Intuit """Giant Skip Ad""","A brief ad that discusses how people don't like to watch ads and want to skip it. Shows the characters from their CG-animated full short film  ""A Giant Story"" which was posted in advance.[118][112][163]"
2018,Tax preparation,TurboTax """The Noise in the Attic""",A sheeted ghost in the attic approaches an open laptop where a representative talks about their tax software program.[112]
2018,Tax preparation,TurboTax """The Thing Under the Bed""",Features CG-animated boogeyman talking about how easy it is to answer the questions in the software program.[112]
2018,Technology,Amazon Echo """Alexa Loses Her Voice""","When Alexa loses her voice, Amazon representatives tell their CEO Jeff Bezos that they have replacement voices ready, which turn out to be celebrities such as Gordon Ramsay, Cardi B, Rebel Wilson and others.[164][165]"
2018,TV series,Castle Rock (Hulu) N/A,TV promo[118]
2018,TV series,Good Girls (NBC) N/A,TV promo
2018,TV series,Rise (NBC) N/A,TV promo[166]
2018,TV series,This Is Us (NBC) N/A,TV promo
2018,TV series,Today (NBC) N/A,TV promo
2018,TV series,Tom Clancy's Jack Ryan (Amazon Prime) N/A,Trailer[167]
2018,TV series,Unsolved: The Murders of Tupac & the Notorious B.I.G. (USA Network) N/A,TV promo
2018,TV series,The Voice  (NBC) """The Voice Super Commercial""","Blake Shelton, Adam Levine, Alicia Keys and Kelly Clarkson do a country-styled video to promote the new season of The Voice.[168][169]"
2018,TV series,Westworld season 2 (HBO) N/A,TV promo[170][127]
2018,TV special,Jesus Christ Superstar Live in Concert (NBC) N/A,TV promo
2018,Travel,Tourism Australia """Dundee""","A trailer for Dundee, a Crocodile Dundee reboot supposedly starring Danny McBride and Chris Hemsworth, reveals itself to be an ad for travel to Australia.[171]"
2018,Travel,Universal Parks & Resorts """In Game""a.k.a. ""Peyton Manning: Vacation Quarterback""",Peyton Manning and his family visit a Universal theme park.[118][112]
2018,Video game,Heroes Arena """Conquer Your Battles""",[172][173]
2018,Website,Blacture """Be Celebrated""",Fugee members talk about a new website that celebrates black excellence.[112][174]
2018,Website,Squarespace """Make It With Keanu Reeves""","Keanu Reeves rides his motorcycle in the middle of a desert highway while standing on it as he cites lines from Will Power's ""Adventures In Success"".[175][112][176]"
2018,Website,Wix.com """Rhett & Link""",Internet YouTuber comedians Rhett and Link use Wix.com to create a website.[112][177]
2018,Wireless,Sprint """Evelyn""","A doctor was analyzing Evelyn's artificial intelligence when she notices that his phone was under Verizon, causing other robots in the lab to laugh at him. He tells the Sprint guy he is switching because his ""coworkers"" made fun of him.[178][112]"
2018,Wireless,Verizon Wireless """Remember the First Responders""",10-second clip after the halftime show where Justin Timberlake thanks the first responders.[112][179]
2018,Wireless,Verizon Wireless """Answering the Call""",60-second commercial slide montage of first responders in action.[112][179]
2018,Wireless,T-Mobile """Little Ones""",Babies of various races look up to a camera where a woman's spoke tells them social messages.[112][121]
2019,Product type,Advertiser/product Title,Plot/Notes
2019,Alcohol,Bon & Viv Spiked Seltzer """The Pitch""","Two mermaids ""pitch"" Bon & Viv Spiked Seltzer to actual sharks.[180]"
2019,Alcohol,Bud Light """Special Delivery""","The Bud Light King mistakenly receives a gigantic barrel of corn syrup, which his followers attempt to gift to Coors Light and Miller Lite instead, since Bud Light does not use corn syrup as an ingredient.[181][182]"
2019,Alcohol / TV series,"Bud Light  Game of Thrones","""Joust""",The Bud Knight is defeated in a jousting match by The Mountain.[183][184]
2019,Alcohol,Budweiser """Wind Never Felt Better""","A dalmatian rides a cart pulled by the Clydesdales through a wind farm at Tejon Ranch, promoting the brand's commitment to using renewable energy in its production process.[185][186]"
2019,Alcohol,Hennessy """Major""",Track cyclist of the 1890s and 1900s Major Taylor reaches the end of a race where the only competitor is himself.[187][188]
2019,Alcohol,Michelob Ultra """Robots""",
2019,Alcohol,Michelob Ultra Pure Gold """The Pure Experience""","Zoë Kravitz invites viewers to experience an ASMR sensation inspired by the new lite ""Pure Gold"" brew.[189][190]"
2019,Alcohol,Stella Artois """Change Up the Usual""","At a bar, Sarah Jessica Parker decides to order a Stella Artois rather than a cosmopolitan (the signature drink of her Sex and the City character Carrie Bradshaw). Jeff Bridges (in a portrayal of his The Big Lebowski character ""The Dude"") follows suit by similarly declining a White Russian in favor of a ""Stella Artose"".[191]"
2019,Beverage,Bubly sparkling water """Bublé vs. Bubly""","At a store, singer Michael Bublé insists on pronouncing the name of Bubly as ""Bublé"", even after another customer and a clerk (whom Bublé refers to as ""Davé"") corrects him.[192][193]"
2019,Beverage,Pepsi """More Than OK""",
2019,Candy,M&M's Chocolate Bar """Bad Passenger""","The M&M's characters fight in the backseat of a car driven by Christina Applegate, who threatens to ""break them apart"" and eat them if they don't behave: it is revealed that they had been embedded in a chocolate bar."
2019,Car,Audi e-tron GT """Cashew""","A man encounters his grandfather at an isolated house in a field, where he shows him an Audi e-tron GT in his garage. Just as the man is about to drive it, it is revealed that this was only a dream, and that the man was actually at work choking on a cashew.[194]"
2019,Car,Hyundai Shopper Assurance """The Elevator""","Jason Bateman mans an elevator taking people to floors reflecting life experiences they don't always look forward to (such as a dentist appointment and a vegan dinner party). When a couple is sent to a floor for car shopping, Bateman is told that they were actually getting a Hyundai, and had used Shopper Assurance to pick a vehicle and schedule a test drive without haggling with a salesperson.[195][196]"
2019,Car,Kia Telluride """Give It Everything""","The city of West Point, Georgia is revitalized by the opening of a Kia factory there."
2019,Car,Mercedes-Benz A-Class """Say The Word""","A man uses his voice to control real life, just as he can control the entertainment system on his A-Class."
2019,Car,Toyota RAV4 Hybrid """Toni""","Jim Nantz narrates a story on challenging expectations, focusing on female football player Antoinette Harris.[197][198]"
2019,Car,Toyota Supra """Wizard""","To The Who's ""Pinball Wizard"", the Toyota Supra drives through a giant pinball machine."
2019,Film,Alita: Battle Angel N/A,Promo
2019,Film,Avengers: Endgame N/A,Teaser
2019,Film,Captain Marvel N/A,Promo
2019,Film,Hobbs & Shaw N/A,Trailer
2019,Film,Scary Stories to Tell in the Dark N/A,Teaser
2019,Film,Toy Story 4 N/A,Teaser
2019,Film,Us N/A,Promo
2019,Film,Wonder Park N/A,Trailer
2019,Food,Avocados from Mexico """Top Dog""",
2019,Food,Burger King """#EatLikeAndy""",Footage of Andy Warhol eating a Whopper from the film 66 Scenes from America.[199]
2019,Food,Flamin' Hot Doritos """Now It's Hot""","Chance the Rapper raps over the Backstreet Boys' ""I Want It That Way"" to make the original ""hot"".[200]"
2019,Food,Pringles """Sad Device""","A smart speaker emotionally resents not being able to stack Pringles because it doesn't have hands, but is interrupted when its asked to play ""Funkytown"" instead."
2019,Smart speaker,Amazon Echo """Not Everything Makes the Cut""","A series of rejected ideas for Alexa-powered products are presented, including an electric toothbrush, a dog collar with bark recognition (which causes Harrison Ford's dog to repeatedly order dog food), hot tub (which triggers an extravagant water show when playing music), and space station (which causes an ""incident"" affecting electrical power worldwide).[20 ]"
2019,NFL,NFL centennial season """The 100-Year Game""","Marshawn Lynch tries to steal a slice of cake at a gala celebrating the NFL's 100th season, but knocks a football centerpiece off in the process—instigating a fight for the ball involving a cast of current and past players. The ad also features appearances by Sarah Thomas (the NFL's first female official), and video game streamer Ninja.[202][203][204]"
2019,Store,Walmart Grocery Pickup """Famous Cars""",A number of iconic vehicles from film and television visit a Walmart store to use its Grocery Pickup service. This ad originally premiered during the 20 9 Golden Globe Awards.[205][206][207]
2019,TV series,The Handmaid's Tale season 3 (Hulu) N/A,"The ad opens with scenes and narration based on Ronald Reagan's ""Morning in America"" campaign advertisement, but is interrupted by violent scenes of the series' dystopian society.[208][209]"
2019,TV series,Hanna (Amazon Video) N/A,"Promo. A special preview release of the premiere episode became available for streaming for 24 hours, beginning at 9:30 p.m. ET, intended to be watched after the game.[210][211]"
2019,TV series,The Late Show with Stephen Colbert (CBS) N/A,"A song and dance number promoting a special episode after the game is interrupted by ""CBS Sports Breaking News"", with James Brown informing viewers that ""today is the Super Bowl"". By the time the ad returns, the number had already ended."
2019,TV series,The Twilight Zone (CBS All Access) N/A,"After a fake interruption of CBS's Super Bowl telecast, Jordan Peele addresses an empty Mercedes-Benz Stadium, asking viewers to question their reality.[212]"
2019,Video gaming,Xbox Adaptive Controller """We All Win""","Owen Sirmons, a child with Escobar syndrome, is able to play video games using Microsoft's Xbox Adaptive Controller.[213][214][215]"
2019,Wireless,T-Mobile """Dad?!""",A father accidentally texts someone on searching to make eggplant parmigiana.[216]
2019,Wireless,T-Mobile ,"""Mike"" responds to a text message to what is actually a Lyft driver.[217]"
2019,Wireless,T-Mobile """We'll Keep This Brief""",A person texts to Cathy to check on her only to very long lengthy response about her day.[218]
2019,Wireless,T-Mobile """What's for Dinner?""","In a conversation between the two, a person tries to figure out a response and while considering to eat between tacos and sushi.[219]"
2020,Beer,Presidente """Never Left""" "Features Alex Rodriguez, co-owner and chairman of the brand, where he goes back to Miami where he grew up."
2020,Car,Audi e-tron Sportback """Let it Go""" "Maisie Williams is stuck in a traffic jam surrounded by old vehicles. Singing ""Let It Go"", she passes by lowriders, a repair shop and a gas station, leaving the fossil-fuel world behind.[220]"
2020,Car,Hyundai Sonata """Smaht Pahk""" "John Krasinski demonstrates the new ""Remote Smart Parking Assist"" feature of his Hyundai Sonata, which he refers to in a thick Boston accent as ""smaht pahk"". The ad also features appearances by fellow Bostonians Rachel Dratch, Chris Evans, and Boston Red Sox player David Ortiz.[221]"
2020,Car,Genesis GV80 """Going Away Party""" "Chrissy Teigen throws a ""going-away party"" for ""old luxury"", in favor of ""young luxury"", symbolized by John Legend and a Genesis GV80.[222]"
2020,Car,GMC Hummer EV """Quiet Revolution""" "Several scenes teasing aspects of the electric truck are followed by similar scenes in absolute silence, concluding with LeBron James sinking a slam dunk that smashes the backboard glass.[223]"
2020,Car,Jeep """Groundhog Day""" "Groundhog Day commercial featuring Bill Murray as his character for the movie, meeting with Punxsutawney Phil again as he is currently in the time loop again; they enjoy 2/2/2020 with the Jeep Gladiator.[224]"
2020,Car,Kia Seltos """Tough Never Quits""" "Rookie Josh Jacobs returns to his hometown of Tulsa, Oklahoma offering advice and inspiration to his younger self to overcome the challenges he faced on his path to the NFL.[225]"
2020,Car,Toyota Highlander """Heroes""" "Driving a Toyota Highlander, Cobie Smulders saves the day in various movie tropes including a biological disaster, a western and an alien invasion with room to spare.[226]"
2020,Car,Porsche Taycan """The Heist""" "Security professionals are alerted when the Porsche Taycan is stolen from an exhibit at the Porsche museum; in the ensuing chase numerous vehicles are used such as a 911 Carrera S, a 917 K and a 918 Spyder.[227]"
2020,Film,F9  Trailer
2020,Film,The Invisible Man  Trailer
2020,Film,Mulan  Trailer
2020,Food,Doritos """The Cool Ranch""" "Lil Nas X and Sam Elliott participate in a dance showdown to ""Old Town Road"".[228]"
2020,Food,Planters """Tribute""" "Following his death in a previous ad, Mr. Peanut returns to life as a newborn child after the Kool-Aid Man's tears drip onto his grave.[229][230]"
2020,Food,Pop-Tarts Pretzel """Pop-Tarts Fixed the Pretzel""" "Jonathan Van Ness serves as spokesperson for Pop-Tarts Pretzel, promoting it as an alternative to ""boring"" pretzels[231]"
"Food, TV series","Pringles, Rick and Morty",,"After Morty enthusiastically enters the living room to promote various Pringles products, Rick exposes him as being a robot, and realizes he is trapped in a Pringles commercial.[232]"
2020,Website,Facebook  "Facebook groups ""Ready to Rock"" featuring different groups with the word rock in it. Surprisingly featuring Chris Rock and Sylvester Stallone known for his character Rocky Balboa in it."
